Ensembl Gene ID	Strand	Gene Start (bp)	Gene End (bp)	Gene Biotype	HGNC symbol	Chromosome Name
ENSG00000236359	-1	5351822	5352590	pseudogene	OR51B8P	11
ENSG00000254303	-1	122966879	123139423	lincRNA		8
ENSG00000259553	-1	102500051	102501611	lincRNA	MIR1302-11	15
ENSG00000259553	-1	102500051	102501611	lincRNA	MIR1302-10	15
ENSG00000259553	-1	102500051	102501611	lincRNA	MIR1302-9	15
ENSG00000259553	-1	102500051	102501611	lincRNA	MIR1302-2	15
ENSG00000266024	1	190739823	190739892	miRNA		4
ENSG00000229044	-1	31805914	31819646	antisense		1
ENSG00000240524	-1	229406674	229407346	pseudogene		1
ENSG00000255540	1	89464185	89467950	pseudogene		11
ENSG00000232571	1	143343559	143344609	pseudogene		1
ENSG00000264016	-1	10644584	10672333	lincRNA		17
ENSG00000249601	-1	169618583	169626145	lincRNA		5
ENSG00000233339	1	106795998	106800253	antisense		2
ENSG00000227373	-1	174084438	174129142	lincRNA		1
ENSG00000269243	-1	16234471	16250702	antisense		19
ENSG00000250666	1	190802670	190806023	lincRNA		4
ENSG00000229826	-1	52764990	52765196	pseudogene		X
ENSG00000237481	1	229455150	229458834	antisense		1
ENSG00000253814	1	123103719	123103848	pseudogene	MRPS36P3	8
ENSG00000215630	-1	70435716	70585611	pseudogene	GUSBP9	5
ENSG00000232979	-1	7875776	7875914	pseudogene		2
ENSG00000215899	-1	31960436	31961777	pseudogene		1
ENSG00000252506	1	229518875	229518935	snRNA	RNU6-180P	1
ENSG00000255364	-1	123426571	123440790	lincRNA		8
ENSG00000263415	1	14372250	14372374	miRNA		8
ENSG00000222724	-1	88315873	88316066	snRNA	RNU2-63P	2
ENSG00000206981	-1	31970419	31970525	snRNA	RNU6-40P	1
ENSG00000213295	1	106863825	106864197	pseudogene		2
ENSG00000223786	1	74779167	75400443	lincRNA		6
ENSG00000252051	-1	229546247	229546514	misc_RNA	RN7SKP276	1
ENSG00000266099	1	94955565	94955635	miRNA	MIR5700	12
ENSG00000255365	1	14547891	14548128	pseudogene		8
ENSG00000207271	-1	36914943	36915066	misc_RNA		10
ENSG00000249462	-1	190894754	190895002	pseudogene	MLLT10P2	4
ENSG00000228682	1	31971841	31974167	lincRNA		1
ENSG00000255325	-1	123497754	123502054	lincRNA		8
ENSG00000230331	1	229560767	229561397	pseudogene		1
ENSG00000238127	-1	52777574	52779905	pseudogene		X
ENSG00000255647	1	89705817	89706485	pseudogene		5
ENSG00000271307	1	190901057	190901762	pseudogene		4
ENSG00000238176	1	37229037	37232860	lincRNA		10
ENSG00000267033	-1	16297087	16300269	antisense		19
ENSG00000199127	-1	14710947	14711019	miRNA	MIR383	8
ENSG00000223907	1	31984036	31989846	lincRNA		1
ENSG00000223373	1	213775727	213784533	lincRNA		2
ENSG00000257847	1	94984597	94984869	pseudogene	LSM3P2	12
ENSG00000234376	-1	89485953	89487143	pseudogene	UBTFL2	11
ENSG00000241847	1	143811652	143812504	pseudogene	VDAC1P8	6
ENSG00000255433	1	56615954	56645554	lincRNA		11
ENSG00000233313	-1	77036134	77036404	pseudogene	HMGA1P5	10
ENSG00000230087	1	5375922	5376808	pseudogene		11
ENSG00000253819	-1	123682624	123706345	lincRNA	LINC01151	8
ENSG00000107821	1	102821598	102827888	protein_coding	KAZALD1	10
ENSG00000255076	-1	14736566	14737328	sense_intronic		8
ENSG00000235106	1	136890561	136899788	antisense	LINC00094	9
ENSG00000229167	-1	32037186	32041174	antisense		1
ENSG00000238872	-1	174169267	174169368	snoRNA		1
ENSG00000159592	-1	46092976	46153785	protein_coding	GPBP1L1	1
ENSG00000266354	1	213790981	213791060	miRNA	MIR4776-1	2
ENSG00000266354	1	213790981	213791060	miRNA	MIR4776-2	2
ENSG00000231291	1	4512375	4516889	lincRNA		5
ENSG00000267275	-1	16394170	16435325	antisense		19
ENSG00000217178	1	74991982	74992376	pseudogene		6
ENSG00000266125	1	174317403	174317493	miRNA		1
ENSG00000233533	-1	37233039	37233666	pseudogene	MKNK2P1	10
ENSG00000238901	1	123683530	123683633	snoRNA		8
ENSG00000216306	1	95227923	95228934	pseudogene	KRT19P2	12
ENSG00000254971	-1	89487150	89488121	lincRNA		11
ENSG00000270659	1	214017694	214018383	lincRNA		2
ENSG00000238049	-1	102602390	102602657	pseudogene		X
ENSG00000237317	-1	174336243	174337177	pseudogene		1
ENSG00000270087	-1	77039484	77161004	lincRNA		10
ENSG00000181282	1	56738325	56739621	pseudogene	OR5AK3P	11
ENSG00000189127	-1	79852574	79866307	protein_coding	ANKRD34B	5
ENSG00000202429	1	128229810	128229991	snRNA	RNU4-48P	2
ENSG00000235740	-1	143875462	143883168	antisense		6
ENSG00000259457	-1	69857063	69858129	lincRNA		15
ENSG00000236248	1	5383845	5384079	pseudogene		11
ENSG00000272243	-1	75239964	75443995	lincRNA		6
ENSG00000263443	-1	123712508	123715662	lincRNA		8
ENSG00000239257	-1	29694446	29694916	pseudogene	RPL23AP1	6
ENSG00000242569	1	143347958	143376829	lincRNA		1
ENSG00000272789	-1	128383572	128384423	antisense		2
ENSG00000226920	-1	229576031	229576767	lincRNA		1
ENSG00000249368	1	15182805	15183078	pseudogene		8
ENSG00000255170	1	89498052	89498306	pseudogene		11
ENSG00000223828	-1	174725988	174726257	pseudogene	BANF1P4	1
ENSG00000249082	-1	134374528	134375737	lincRNA		5
ENSG00000236193	-1	214020530	214032436	lincRNA		2
ENSG00000236518	1	52799880	52800150	pseudogene		X
ENSG00000251297	-1	190903678	190906026	pseudogene	TUBB7P	4
ENSG00000079435	-1	42905659	42931578	protein_coding	LIPE	19
ENSG00000255083	1	56785575	56786361	pseudogene	OR5AK1P	11
ENSG00000225355	1	37283951	37284513	pseudogene	ARL6IP1P2	10
ENSG00000235165	1	123781513	123782389	pseudogene		8
ENSG00000232622	-1	85101841	85102789	pseudogene		1
ENSG00000223635	1	229644248	229650019	antisense		1
ENSG00000250274	-1	169735705	169739720	lincRNA		5
ENSG00000243745	-1	16509477	16509770	misc_RNA	RN7SL844P	19
ENSG00000270890	-1	144179199	144179826	pseudogene		6
ENSG00000273340	-1	29709508	29716746	pseudogene	MICE	6
ENSG00000204456	-1	89499608	89502004	pseudogene		11
ENSG00000120279	1	153019030	153045702	protein_coding	MYCT1	6
ENSG00000206796	1	37424165	37424271	snRNA	RNU6-811P	10
ENSG00000259641	1	69884468	69988089	lincRNA		15
ENSG00000272519	-1	214131719	214140876	lincRNA		2
ENSG00000273228	1	56796883	56797197	pseudogene	OR5BQ1P	11
ENSG00000236357	-1	175785830	175786696	pseudogene	EI24P1	3
ENSG00000240418	1	16523495	16524387	pseudogene		19
ENSG00000231378	-1	174818805	174819306	pseudogene	NDUFAF4P4	1
ENSG00000199672	-1	229670811	229670936	snRNA	RNU4-21P	1
ENSG00000248424	-1	5451883	5452832	pseudogene	OR51K1P	11
ENSG00000226867	-1	52810501	52814830	pseudogene		X
ENSG00000218483	-1	75320165	75320431	pseudogene		6
ENSG00000217231	1	144357755	144358841	pseudogene		6
ENSG00000265003	-1	88382038	88382118	miRNA	MIR4780	2
ENSG00000198561	1	57520715	57587018	protein_coding	CTNND1	11
ENSG00000234918	1	37529815	37530977	lincRNA		10
ENSG00000234438	1	65369154	65372276	protein_coding	KBTBD13	15
ENSG00000201470	-1	128556477	128556572	misc_RNA	RNY4P7	2
ENSG00000223428	-1	77048091	77048440	pseudogene		10
ENSG00000201492	1	229685652	229685769	rRNA	RNA5SP78	1
ENSG00000235790	1	32109650	32125539	antisense		1
ENSG00000224196	1	56804912	56805009	pseudogene	OR5AK4P	11
ENSG00000226655	-1	124666078	124666828	lincRNA		4
ENSG00000196096	-1	214141276	214148929	lincRNA		2
ENSG00000200390	-1	128587321	128587426	misc_RNA		2
ENSG00000234405	1	102752451	102755245	antisense		X
ENSG00000224061	-1	106869687	106870173	pseudogene		2
ENSG00000229367	1	229706279	229706543	pseudogene	HMGN2P19	1
ENSG00000272384	-1	123792210	123793069	lincRNA		8
ENSG00000265734	1	214622791	214622883	miRNA	MIR4438	2
ENSG00000160606	-1	27051366	27054953	protein_coding	TLCD1	17
ENSG00000228489	-1	124666905	124667381	pseudogene	RPL21P50	4
ENSG00000236797	-1	77142151	77142602	pseudogene	SPA17P1	10
ENSG00000235172	1	169758433	169760883	lincRNA		5
ENSG00000272676	1	56812566	56812865	pseudogene	OR5AO1P	11
ENSG00000224583	1	75352100	75361718	lincRNA		6
ENSG00000266568	-1	102873433	102873502	miRNA		X
ENSG00000202012	-1	88529088	88529183	misc_RNA	RNY4P15	2
ENSG00000256014	-1	144438986	144439062	pseudogene		6
ENSG00000229405	-1	7876569	7877226	pseudogene		2
ENSG00000237249	1	174861554	174862292	pseudogene		1
ENSG00000254751	1	89510149	89515545	pseudogene	TRIM64DP	11
ENSG00000223214	1	15379393	15379475	miRNA		8
ENSG00000213028	-1	229824746	229825651	pseudogene		1
ENSG00000197585	-1	215114764	215548970	antisense		2
ENSG00000249514	-1	90326807	90327124	pseudogene		5
ENSG00000250458	-1	124783015	124783170	pseudogene		4
ENSG00000272043	1	123792999	123793310	lincRNA		8
ENSG00000240800	1	37537046	37604729	pseudogene	ATP8A2P1	10
ENSG00000224031	-1	102881004	102881420	antisense	TCEAL3-AS1	X
ENSG00000238870	-1	70023079	70023161	miRNA		15
ENSG00000264884	-1	75429462	75429559	miRNA		6
ENSG00000273255	1	56823062	56823607	pseudogene	OR5BP1P	11
ENSG00000229885	-1	52830424	52830553	pseudogene		X
ENSG00000219297	1	144457587	144457912	pseudogene	MRPL42P3	6
ENSG00000215958	-1	70077754	70077843	miRNA		15
ENSG00000253372	1	123819985	123828756	sense_intronic		8
ENSG00000219736	-1	75558793	75560200	pseudogene		6
ENSG00000225984	-1	229840981	229841608	pseudogene	HMGB1P26	1
ENSG00000246922	-1	65385338	65407535	protein_coding	UBAP1L	15
ENSG00000254662	1	57093077	57095432	antisense		11
ENSG00000251899	-1	85258751	85258882	miRNA		1
ENSG00000248423	-1	15546423	15547071	pseudogene		8
ENSG00000137393	1	18368779	18469105	protein_coding	RNF144B	6
ENSG00000259496	-1	70095655	70096385	pseudogene		15
ENSG00000270081	-1	128601127	128603261	lincRNA		2
ENSG00000223525	1	174866095	174867133	sense_intronic	RABGAP1L-IT1	1
ENSG00000266110	1	85599477	85599556	miRNA	MIR4423	1
ENSG00000213917	-1	215145362	215146176	pseudogene	RPL5P8	2
ENSG00000238692	-1	57096333	57096435	snoRNA		11
ENSG00000202532	1	128602810	128602915	snRNA	RNU6-395P	2
ENSG00000223254	1	85729979	85730085	misc_RNA		1
ENSG00000225793	1	75994730	76006719	lincRNA		6
ENSG00000259309	-1	70113095	70115195	lincRNA		15
ENSG00000248753	1	134456216	134475371	lincRNA		5
ENSG00000180284	-1	102906663	102907034	pseudogene		X
ENSG00000266018	1	57127196	57127295	miRNA		11
ENSG00000235869	-1	174891244	174891577	pseudogene		1
ENSG00000221542	-1	123858930	123859018	miRNA		8
ENSG00000217027	-1	144521584	144522102	pseudogene	TPT1P4	6
ENSG00000244563	-1	128604310	128604658	pseudogene		2
ENSG00000249890	-1	69887374	69888058	pseudogene		4
ENSG00000250484	1	124983617	124984145	pseudogene		4
ENSG00000244402	1	37586326	37586615	misc_RNA	RN7SL314P	10
ENSG00000223653	1	85742398	85913807	antisense		1
ENSG00000221619	1	88594111	88594198	miRNA		2
ENSG00000227043	-1	230011297	230021499	lincRNA		1
ENSG00000252070	1	57217656	57217772	rRNA	RNA5SP341	11
ENSG00000259631	-1	123989266	123997869	lincRNA		8
ENSG00000230484	-1	5489716	5490652	pseudogene	OR51A10P	11
ENSG00000248482	-1	134460070	134466939	lincRNA		5
ENSG00000216115	1	68457058	68457147	miRNA		2
ENSG00000212930	1	90519236	90519784	lincRNA		5
ENSG00000222998	1	57219163	57219495	misc_RNA	RN7SKP259	11
ENSG00000251371	1	4640844	4648367	lincRNA		5
ENSG00000259703	1	70127573	70135459	lincRNA	LINC00593	15
ENSG00000258597	-1	94830053	94833039	pseudogene	SERPINA2P	14
ENSG00000253607	1	124014800	124042991	antisense		8
ENSG00000154065	-1	21178890	21242849	protein_coding	ANKRD29	18
ENSG00000255162	1	89519113	89521006	pseudogene		11
ENSG00000267703	1	16551757	16554395	antisense		19
ENSG00000264078	1	32110295	32114972	antisense		1
ENSG00000273064	1	68480002	68480980	antisense		2
ENSG00000199572	1	190936293	190936410	rRNA	RNA5SP174	4
ENSG00000239049	1	88606879	88606982	snoRNA		2
ENSG00000255301	-1	57243966	57245007	antisense		11
ENSG00000240106	-1	16650499	16650795	misc_RNA	RN7SL146P	19
ENSG00000237149	1	77160759	77168738	processed_transcript	ZNF503-AS2	10
ENSG00000250483	-1	15663658	15664792	pseudogene	PPM1AP1	8
ENSG00000227758	1	29716066	29716290	pseudogene	HCG9P5	6
ENSG00000256357	1	94896970	94931067	antisense		14
ENSG00000216475	-1	144578170	144578760	pseudogene		6
ENSG00000251093	-1	90522292	90522888	lincRNA		5
ENSG00000215549	1	26442061	26455095	protein_coding		13
ENSG00000201145	1	190938851	190938969	rRNA	RNA5SP175	4
ENSG00000199678	1	124056957	124057052	misc_RNA	RNY4P5	8
ENSG00000230353	-1	106905259	106905509	pseudogene		2
ENSG00000221443	1	68500236	68500338	miRNA		2
ENSG00000225968	1	1727755	1787590	protein_coding	ELFN1	7
ENSG00000266580	-1	32224261	32224336	miRNA	MIR4254	1
ENSG00000228058	1	230138477	230142909	lincRNA		1
ENSG00000264380	1	85750293	85750356	miRNA		1
ENSG00000250919	1	69893549	69910296	pseudogene		4
ENSG00000203489	-1	76028817	76029696	pseudogene	HMGB1P39	6
ENSG00000269399	-1	16653434	16655625	lincRNA		19
ENSG00000197475	-1	39308564	39380371	pseudogene	ADAM3A	8
ENSG00000224807	-1	190942562	190943820	pseudogene	DUX4L9	4
ENSG00000253463	1	124135346	124135922	pseudogene	HMGB1P19	8
ENSG00000203395	-1	68588346	68592716	antisense		2
ENSG00000199290	1	29718148	29718249	misc_RNA		6
ENSG00000258805	1	95100042	95100861	pseudogene	ADIPOR1P2	14
ENSG00000109805	1	17812525	17846485	protein_coding	NCAPG	4
ENSG00000272619	1	143060992	143061322	lincRNA		7
ENSG00000251995	1	57278032	57278117	misc_RNA		11
ENSG00000199459	-1	85900858	85900967	misc_RNA		1
ENSG00000255285	-1	89522580	89522901	pseudogene		11
ENSG00000185596	1	102501356	102516768	pseudogene	WASH3P	15
ENSG00000254545	1	32254731	32256923	antisense		1
ENSG00000235821	-1	29718506	29718925	pseudogene	IFITM4P	6
ENSG00000250053	-1	190959071	190959554	pseudogene	RARRES2P4	4
ENSG00000253647	1	169816497	169849848	antisense		5
ENSG00000249837	-1	125070532	125173199	lincRNA		4
ENSG00000268344	-1	26452422	26452679	protein_coding		13
ENSG00000273264	1	85932978	85933343	lincRNA		1
ENSG00000229531	-1	174904084	174923398	antisense		1
ENSG00000240371	-1	57343765	57344553	pseudogene	RPS4XP13	11
ENSG00000232533	-1	143076785	143077588	antisense		7
ENSG00000268309	1	16662584	16663139	antisense		19
ENSG00000250946	1	89553250	89560090	pseudogene		11
ENSG00000203620	-1	32307620	32321169	lincRNA		1
ENSG00000207965	-1	70371711	70371807	miRNA	MIR629	15
ENSG00000224622	1	55552631	55553507	pseudogene	OR9R1P	12
ENSG00000253858	-1	169910810	169913411	antisense		5
ENSG00000225311	-1	144632835	144654437	antisense		6
ENSG00000272691	-1	86044183	86044425	lincRNA		1
ENSG00000249647	-1	134571924	134583869	lincRNA		5
ENSG00000231154	1	102942212	102946700	antisense	MORF4L2-AS1	X
ENSG00000226506	-1	8026901	8039786	lincRNA		2
ENSG00000180730	-1	26618735	26625169	protein_coding	SHISA2	13
ENSG00000211525	-1	230184929	230184997	miRNA		1
ENSG00000229462	-1	68672842	68676306	pseudogene		2
ENSG00000269085	1	16676362	16677141	antisense		19
ENSG00000200216	1	70485575	70485683	snRNA	RNU6-745P	15
ENSG00000272236	-1	29719742	29719984	lincRNA		6
ENSG00000199934	1	86057963	86058039	snoRNA		1
ENSG00000265334	-1	29161343	29190046	antisense		17
ENSG00000248506	-1	125356905	125358275	pseudogene		4
ENSG00000272667	1	128644130	128644759	lincRNA		2
ENSG00000269967	-1	32317514	32387442	lincRNA		1
ENSG00000219409	1	144719095	144719888	pseudogene		6
ENSG00000227006	-1	230394440	230404229	antisense		1
ENSG00000146469	1	153071933	153080900	protein_coding	VIP	6
ENSG00000227423	-1	55587666	55588570	pseudogene	OR10U1P	12
ENSG00000230285	1	86064814	86066417	lincRNA		1
ENSG00000232508	-1	88664214	88665127	pseudogene	MRPL45P1	2
ENSG00000259252	-1	70487977	70490848	lincRNA		15
ENSG00000270896	-1	29731035	29731169	pseudogene		6
ENSG00000221461	-1	124192551	124192765	snoRNA		8
ENSG00000269578	-1	16697716	16698796	sense_intronic		19
ENSG00000237174	1	76066930	76096096	antisense		6
ENSG00000228634	1	32398621	32399576	lincRNA		1
ENSG00000204399	1	128688901	128689014	pseudogene		2
ENSG00000226836	1	15800634	15801041	pseudogene		8
ENSG00000240813	-1	10648870	10649860	pseudogene		17
ENSG00000269360	1	93749295	93751277	protein_coding		15
ENSG00000205971	-1	1732446	1733961	protein_coding		7
ENSG00000253258	-1	124193878	124195028	antisense		8
ENSG00000201620	-1	86349363	86349481	rRNA	RNA5SP51	1
ENSG00000252659	-1	120751041	120751144	snRNA	RNU6-1088P	12
ENSG00000268087	1	16721222	16747342	lincRNA		19
ENSG00000213451	1	55656323	55657215	pseudogene	OR6C69P	12
ENSG00000252552	1	174965661	174965766	snRNA	RNU6-307P	1
ENSG00000229153	1	143104906	143220542	antisense	EPHA1-AS1	7
ENSG00000203325	-1	32517892	32539075	antisense		1
ENSG00000253591	-1	170066162	170108441	antisense		5
ENSG00000229505	1	86495537	86496272	pseudogene		1
ENSG00000259503	1	70613915	70619081	lincRNA		15
ENSG00000269427	1	16741554	16754753	antisense		19
ENSG00000206659	-1	174991615	174991716	misc_RNA		1
ENSG00000212190	1	29188861	29188956	snRNA	RNU6-298P	17
ENSG00000253410	1	124205115	124205172	pseudogene		8
ENSG00000224257	1	215374920	215401614	sense_intronic	VWC2L-IT1	2
ENSG00000181126	1	29758731	29765588	pseudogene	HLA-V	6
ENSG00000214525	-1	68755373	68756584	pseudogene		2
ENSG00000217195	-1	145027869	145028183	pseudogene		6
ENSG00000199643	1	90566544	90566684	snRNA	RNU4-90P	5
ENSG00000224407	-1	230416058	230417639	antisense		1
ENSG00000231349	-1	86869859	86870549	pseudogene		1
ENSG00000181101	-1	175013762	175014784	pseudogene	SDCCAG3P2	1
ENSG00000261971	-1	3101992	3109371	antisense		16
ENSG00000263531	-1	29190939	29191958	antisense		17
ENSG00000259473	-1	70796246	70798267	lincRNA		15
ENSG00000250232	-1	48929385	48937546	protein_coding		X
ENSG00000252513	-1	19900883	19901042	snRNA	RNU1-128P	Y
ENSG00000266203	1	32552550	32552608	miRNA	MIR5585	1
ENSG00000220739	-1	145029242	145029633	pseudogene		6
ENSG00000166013	1	89575165	89584138	pseudogene	TRIM53BP	11
ENSG00000254602	1	57405497	57420263	sense_overlapping		11
ENSG00000185044	-1	143354963	143467632	lincRNA		1
ENSG00000233939	1	106921211	106921653	pseudogene		2
ENSG00000203257	-1	230451438	230451976	pseudogene		1
ENSG00000249521	1	4773594	4774978	lincRNA		5
ENSG00000011201	-1	8496915	8700227	protein_coding	KAL1	X
ENSG00000230113	-1	29283298	29283979	antisense		17
ENSG00000259227	1	70894463	70894855	pseudogene		15
ENSG00000205331	1	55677534	55706860	pseudogene	OR6C72P	12
ENSG00000250135	1	32636334	32642169	sense_intronic		1
ENSG00000239881	1	120807243	120809491	pseudogene	RPS27P25	12
ENSG00000269044	-1	16744614	16746080	sense_intronic		19
ENSG00000177261	1	215562451	215562788	pseudogene	ENSAP3	2
ENSG00000214273	1	190962497	190964569	pseudogene	AGGF1P1	4
ENSG00000148513	1	37414785	37673039	protein_coding	ANKRD30A	10
ENSG00000230687	-1	175172364	175173985	lincRNA		1
ENSG00000221796	1	145669894	145669985	miRNA		6
ENSG00000259532	1	71041271	71046516	lincRNA		15
ENSG00000101222	-1	3758151	3762095	protein_coding	SPEF1	20
ENSG00000221332	-1	76108577	76108783	snoRNA		6
ENSG00000221392	1	103065314	103065438	miRNA		X
ENSG00000227513	1	106961022	106961889	pseudogene		2
ENSG00000204949	-1	124213412	124214983	antisense	FAM83A-AS1	8
ENSG00000232964	-1	230728406	230731329	lincRNA		1
ENSG00000266274	1	29286583	29286867	misc_RNA	RN7SL138P	17
ENSG00000224295	-1	5539671	5546185	pseudogene		11
ENSG00000234044	1	128824768	128824981	pseudogene		2
ENSG00000263533	1	76138123	76138189	miRNA	MIR4463	6
ENSG00000222419	-1	103105726	103105840	rRNA	RNA5SP511	X
ENSG00000201119	-1	145784374	145784535	snRNA	RNU1-33P	6
ENSG00000265743	-1	29291953	29292518	lincRNA		17
ENSG00000233946	1	175266216	175266376	pseudogene		1
ENSG00000249003	-1	190979057	190984160	pseudogene	CLUHP4	4
ENSG00000155849	-1	36893961	37488852	protein_coding	ELMO1	7
ENSG00000234066	1	143134127	143135066	pseudogene	TAS2R62P	7
ENSG00000224466	-1	87018308	87019025	pseudogene		1
ENSG00000235817	-1	230747755	230748158	pseudogene		1
ENSG00000234292	-1	90575914	90576959	lincRNA		5
ENSG00000238156	1	76164660	76168616	lincRNA		6
ENSG00000231787	-1	103159243	103159675	pseudogene		X
ENSG00000267904	-1	16750778	16751479	sense_intronic		19
ENSG00000229682	-1	106984665	106985332	pseudogene		2
ENSG00000217612	-1	145810766	145813228	pseudogene		6
ENSG00000259624	-1	71060350	71071207	antisense		15
ENSG00000229267	1	215674953	215827998	antisense		2
ENSG00000224066	-1	32670370	32672415	antisense		1
ENSG00000248311	-1	4775589	4805882	lincRNA		5
ENSG00000247763	-1	43231914	43233275	pseudogene		5
ENSG00000224964	-1	19909863	19912576	pseudogene	TRAPPC2P3	Y
ENSG00000236915	-1	87036864	87158886	antisense		1
ENSG00000269419	1	16823128	16823245	pseudogene		19
ENSG00000248565	-1	125384018	125384945	pseudogene	TECRP2	4
ENSG00000198954	1	70748487	70776738	protein_coding	KIAA1279	10
ENSG00000204455	1	89586008	89596061	pseudogene	TRIM51BP	11
ENSG00000259452	1	71083352	71083825	pseudogene		15
ENSG00000171467	-1	43274872	43337216	protein_coding	ZNF318	6
ENSG00000236853	-1	143185582	143186495	pseudogene	OR2R1P	7
ENSG00000217680	1	76174839	76175286	pseudogene		6
ENSG00000230307	1	55705619	55706541	pseudogene	OR6C5P	12
ENSG00000248467	-1	4831812	4849913	lincRNA		5
ENSG00000260990	1	175276354	175304595	antisense		1
ENSG00000208009	1	57408671	57408759	miRNA	MIR130A	11
ENSG00000221407	-1	190981535	190981630	miRNA		4
ENSG00000266114	1	10695376	10698302	lincRNA		17
ENSG00000253029	-1	88667312	88667381	snRNA	RNU6-568P	2
ENSG00000253648	1	15830824	15857833	lincRNA		8
ENSG00000263004	-1	55155659	55162385	lincRNA		17
ENSG00000258475	1	190986388	190987069	pseudogene		4
ENSG00000244137	-1	230846444	230931238	antisense		1
ENSG00000213592	-1	57485516	57486002	pseudogene		11
ENSG00000270021	1	134734970	134736986	antisense		5
ENSG00000235665	-1	8062556	8418214	lincRNA	LINC00298	2
ENSG00000253348	-1	170174051	170215654	antisense	MIR4454	5
ENSG00000221702	-1	87071953	87072040	miRNA		1
ENSG00000266324	-1	124228028	124228103	miRNA	MIR4663	8
ENSG00000234345	-1	103165225	103166272	pseudogene		X
ENSG00000068394	-1	48970334	48980151	protein_coding	GPKOW	X
ENSG00000263429	-1	10698230	10707416	lincRNA	LINC00675	17
ENSG00000229977	-1	143229842	143230257	pseudogene		7
ENSG00000261083	-1	125421097	125479589	lincRNA		4
ENSG00000229695	-1	43907604	43908761	pseudogene		2
ENSG00000249633	-1	5548507	5549404	pseudogene	OR52V1P	11
ENSG00000268632	-1	42073346	42076229	protein_coding		15
ENSG00000235628	-1	175507911	175525954	sense_intronic	TNR-IT1	1
ENSG00000226011	1	19921687	19937209	pseudogene	OFD1P1Y	Y
ENSG00000207274	1	215711671	215711805	snoRNA		2
ENSG00000178233	1	44238203	44275243	protein_coding	TMEM151B	6
ENSG00000208038	1	95228174	95228289	miRNA	MIR492	12
ENSG00000243498	1	124249092	124249302	pseudogene	UBA52P5	8
ENSG00000235420	-1	71088936	71095027	pseudogene	RPL29P30	15
ENSG00000266309	1	88673658	88673758	miRNA		2
ENSG00000235138	1	136919412	136923927	antisense		9
ENSG00000255303	-1	57633770	57634751	pseudogene	OR5BA1P	11
ENSG00000230076	1	215711852	215712169	pseudogene		2
ENSG00000248763	1	69932113	69935606	pseudogene		4
ENSG00000263089	-1	55169506	55173786	antisense		17
ENSG00000257757	1	55736625	55737558	pseudogene	OR6C7P	12
ENSG00000176998	-1	29758816	29760850	pseudogene	HCG4	6
ENSG00000263779	1	230865626	230865915	misc_RNA	RN7SL467P	1
ENSG00000257121	1	95494307	95494821	pseudogene		12
ENSG00000168005	1	63580860	63595190	protein_coding	C11orf84	11
ENSG00000250537	1	190988796	190990406	pseudogene	DUX4L8	4
ENSG00000201291	-1	76183454	76183610	snRNA	RNU1-34P	6
ENSG00000253951	1	16133190	16133805	pseudogene		8
ENSG00000224718	1	175846479	175849604	lincRNA		1
ENSG00000261604	1	43287703	43290941	antisense		5
ENSG00000270638	1	146056706	146058354	lincRNA		6
ENSG00000197535	-1	52599480	52821247	protein_coding	MYO5A	15
ENSG00000249941	1	4866634	4874872	lincRNA		5
ENSG00000263902	-1	55489272	55489562	misc_RNA	RN7SL437P	17
ENSG00000202063	1	230955996	230956104	rRNA	RNA5SP79	1
ENSG00000229877	-1	143242279	143243828	pseudogene	PAICSP5	7
ENSG00000237774	1	95519536	95520165	pseudogene		12
ENSG00000174611	-1	134321980	134370478	protein_coding	KY	3
ENSG00000219722	1	76209421	76209852	pseudogene	RPL26P20	6
ENSG00000200432	1	128825374	128825475	misc_RNA		2
ENSG00000201297	1	126283974	126284084	misc_RNA		4
ENSG00000227769	1	215886722	215906980	antisense		2
ENSG00000266100	-1	55599609	55600958	antisense		17
ENSG00000225656	-1	230959387	230960453	lincRNA		1
ENSG00000222607	1	124275083	124275189	snRNA	RNU6-628P	8
ENSG00000264856	1	128879655	128879963	misc_RNA	RN7SL206P	2
ENSG00000220785	-1	32697259	32707221	pseudogene	MTMR9LP	1
ENSG00000248323	-1	90598846	90610219	lincRNA	LUCAT1	5
ENSG00000250149	1	126597873	126673948	lincRNA		4
ENSG00000251506	-1	4967877	4970538	lincRNA		5
ENSG00000238422	-1	124278882	124278985	snoRNA		8
ENSG00000153923	1	87099956	87121059	pseudogene	CLCA3P	1
ENSG00000227740	-1	175873898	175889649	lincRNA		1
ENSG00000270828	-1	146058047	146058309	lincRNA		6
ENSG00000202470	1	95669546	95669648	misc_RNA		12
ENSG00000229173	-1	128897366	128898090	pseudogene		2
ENSG00000223393	1	231010592	231014761	antisense		1
ENSG00000261548	1	29768192	29770202	pseudogene	HLA-P	6
ENSG00000251436	-1	126602332	126604823	pseudogene	NUPL1P1	4
ENSG00000263499	-1	55678217	55685773	antisense		17
ENSG00000263508	1	10752858	10784212	lincRNA		17
ENSG00000127870	-1	26706253	26796791	protein_coding	RNF6	13
ENSG00000235486	1	106986180	106994703	pseudogene		2
ENSG00000252490	-1	43999259	43999489	misc_RNA	RN7SKP66	2
ENSG00000271525	1	136944026	136944566	pseudogene		9
ENSG00000253336	1	124300595	124302743	pseudogene		8
ENSG00000257666	-1	95680094	95680614	pseudogene	CBX3P5	12
ENSG00000230777	1	175891111	175891281	pseudogene		1
